,walk_forward_equity
2022-04-22,93828.49460029602
2022-04-25,93828.49460029602
2022-04-26,93828.49460029602
2022-04-27,93828.49460029602
2022-04-28,93828.49460029602
2022-04-29,93828.49460029602
2022-05-02,93828.49460029602
2022-05-03,93828.49460029602
2022-05-04,93828.49460029602
2022-05-05,93828.49460029602
2022-05-06,93828.49460029602
2022-05-09,93828.49460029602
2022-05-10,93828.49460029602
2022-05-11,93828.49460029602
2022-05-12,93828.49460029602
2022-05-13,93828.49460029602
2022-05-16,93828.49460029602
2022-05-17,93828.49460029602
2022-05-18,93828.49460029602
2022-05-19,93828.49460029602
2022-05-20,93828.49460029602
2022-05-23,93828.49460029602
2022-05-24,93828.49460029602
2022-05-25,93828.49460029602
2022-05-26,93828.49460029602
2022-05-27,93828.49460029602
2022-05-30,93828.49460029602
2022-05-31,93828.49460029602
2022-06-01,93828.49460029602
2022-06-02,93828.49460029602
2022-06-03,93828.49460029602
2022-06-06,93828.49460029602
2022-06-07,93828.49460029602
2022-06-08,93828.49460029602
2022-06-09,93828.49460029602
2022-06-10,93828.49460029602
2022-06-13,93828.49460029602
2022-06-14,93828.49460029602
2022-06-15,93828.49460029602
2022-06-16,93828.49460029602
2022-06-17,93828.49460029602
2022-06-20,93828.49460029602
2022-06-21,93828.49460029602
2022-06-22,93828.49460029602
2022-06-23,93828.49460029602
2022-06-24,93828.49460029602
2022-06-27,93828.49460029602
2022-06-28,93828.49460029602
2022-06-29,93828.49460029602
2022-06-30,93828.49460029602
2022-07-01,93828.49460029602
2022-07-04,93828.49460029602
2022-07-05,93828.49460029602
2022-07-06,93828.49460029602
2022-07-07,93828.49460029602
2022-07-08,93828.49460029602
2022-07-11,93828.49460029602
2022-07-12,93828.49460029602
2022-07-13,93828.49460029602
2022-07-14,93828.49460029602
2022-07-15,93828.49460029602
2022-07-18,93828.49460029602
2022-07-19,93828.49460029602
2022-07-20,93828.49460029602
2022-07-21,93828.49460029602
2022-07-22,93828.49460029602
2022-07-25,93828.49460029602
2022-07-26,93828.49460029602
2022-07-27,93828.49460029602
2022-07-28,93828.49460029602
2022-07-29,93828.49460029602
2022-08-01,93828.49460029602
2022-08-02,93828.49460029602
2022-08-03,93828.49460029602
2022-08-04,93828.49460029602
2022-08-05,93828.49460029602
2022-08-08,93828.49460029602
2022-08-09,93828.49460029602
2022-08-10,93828.49460029602
2022-08-11,93828.49460029602
2022-08-12,93828.49460029602
2022-08-15,93828.49460029602
2022-08-16,93828.49460029602
2022-08-17,93828.49460029602
2022-08-18,93828.49460029602
2022-08-19,93828.49460029602
2022-08-22,93828.49460029602
2022-08-23,93828.49460029602
2022-08-24,93828.49460029602
2022-08-25,93828.49460029602
2022-08-26,93828.49460029602
2022-08-29,93828.49460029602
2022-08-30,93828.49460029602
2022-08-31,93828.49460029602
2022-09-01,93828.49460029602
2022-09-02,93828.49460029602
2022-09-05,93828.49460029602
2022-09-06,93828.49460029602
2022-09-07,93828.49460029602
2022-09-08,93828.49460029602
2022-09-09,93828.49460029602
2022-09-12,93828.49460029602
2022-09-13,93828.49460029602
2022-09-14,93828.49460029602
2022-09-15,93828.49460029602
2022-09-16,93828.49460029602
2022-09-19,93828.49460029602
2022-09-20,93828.49460029602
2022-09-21,93828.49460029602
2022-09-22,93828.49460029602
2022-09-23,93828.49460029602
2022-09-26,93828.49460029602
2022-09-27,93828.49460029602
2022-09-28,93828.49460029602
2022-09-29,93828.49460029602
2022-09-30,93828.49460029602
2022-10-03,93828.49460029602
2022-10-04,93828.49460029602
2022-10-05,93828.49460029602
2022-10-06,93828.49460029602
2022-10-07,93828.49460029602
2022-10-10,93828.49460029602
2022-10-11,93828.49460029602
2022-10-12,93828.49460029602
2022-10-13,93828.49460029602
2022-10-14,93828.49460029602
2022-10-17,93828.49460029602
2022-10-18,93828.49460029602
2022-10-19,93828.49460029602
2022-10-20,93828.49460029602
2022-10-21,93828.49460029602
2022-10-24,93828.49460029602
2022-10-25,93828.49460029602
2022-10-26,93828.49460029602
2022-10-27,93828.49460029602
2022-10-28,93828.49460029602
2022-10-31,93828.49460029602
2022-11-01,93828.49460029602
2022-11-02,93828.49460029602
2022-11-03,93828.49460029602
2022-11-04,93828.49460029602
2022-11-07,93828.49460029602
2022-11-08,93828.49460029602
2022-11-09,93828.49460029602
2022-11-10,93828.49460029602
2022-11-11,93828.49460029602
2022-11-14,93828.49460029602
2022-11-15,93828.49460029602
2022-11-16,93828.49460029602
2022-11-17,93828.49460029602
2022-11-18,93828.49460029602
2022-11-21,93828.49460029602
2022-11-22,93828.49460029602
2022-11-23,93828.49460029602
2022-11-24,93828.49460029602
2022-11-25,93828.49460029602
2022-11-28,93828.49460029602
2022-11-29,93828.49460029602
2022-11-30,93828.49460029602
2022-12-01,93828.49460029602
2022-12-02,93828.49460029602
2022-12-05,93828.49460029602
2022-12-06,93828.49460029602
2022-12-07,93828.49460029602
2022-12-08,93828.49460029602
2022-12-09,93828.49460029602
2022-12-12,93828.49460029602
2022-12-13,93828.49460029602
2022-12-14,93828.49460029602
2022-12-15,93828.49460029602
2022-12-16,93844.302942276
2022-12-19,94468.77624559402
2022-12-20,94440.11357021332
2022-12-21,95289.28117895126
2022-12-22,94650.96158218384
2022-12-23,94634.47555875778
2022-12-27,94829.93418979645
2022-12-28,94461.95357656479
2022-12-29,95320.4540271759
2022-12-30,94908.50221729279
2023-01-02,94908.50221729279
2023-01-03,95469.2132768631
2023-01-04,95602.12214374542
2023-01-05,95564.74086475372
2023-01-06,95431.8319978714
2023-01-09,95311.38409900665
2023-01-10,95489.97830677032
2023-01-11,95435.98565387726
2023-01-12,95419.37265491486
2023-01-13,95332.14912891388
2023-01-16,95510.74658679962
2023-01-17,95510.74658679962
2023-01-18,95510.74658679962
2023-01-19,95510.74658679962
2023-01-20,95510.74658679962
2023-01-23,95510.74658679962
2023-01-24,95510.74658679962
2023-01-25,95510.74658679962
2023-01-26,95510.74658679962
2023-01-27,95510.74658679962
2023-01-30,95510.74658679962
2023-01-31,95320.33517932892
2023-02-01,95396.49841785431
2023-02-02,95732.36794757843
2023-02-03,96084.22128772736
2023-02-06,95926.23994159698
2023-02-07,96363.51889514923
2023-02-08,96741.76221942902
2023-02-09,97480.07583332062
2023-02-10,97423.48715686798
2023-02-13,97927.5016298294
2023-02-14,97729.49064350128
2023-02-15,98723.7534456253
2023-02-16,99402.5737657547
2023-02-17,99230.75593280792
2023-02-20,98718.94348621368
2023-02-21,98586.00606250763
2023-02-22,98670.84737110138
2023-02-23,98688.7880449295
2023-02-24,98560.59680652618
2023-02-27,98810.39241504669
2023-02-28,98973.49828052521
2023-03-01,98718.20377063751
2023-03-02,98891.57957935333
2023-03-03,99018.69075489044
