,BBfull,BBOU,DAX
2023-05-08,72686.88483786583,91667.61618947983,123940.23111608284
2023-05-09,72819.56953406334,91798.417283535,123960.82244846722
2023-05-10,72499.31492209435,91306.68691015244,123500.49919186228
2023-05-11,72833.07822203636,92051.9055724144,123024.09132779422
2023-05-12,73262.5971429348,92381.58305501938,123637.15765866687
2023-05-15,72767.25695204735,92687.89702749252,123663.727609297
2023-05-16,73830.31404280663,93019.10636663437,123513.70070930842
2023-05-17,73663.46568465233,92926.3568854332,123928.34216330231
2023-05-18,72004.46920180321,92366.45257329941,125575.87636642344
2023-05-19,72268.8849093914,92475.66000413895,126446.17502344218
2023-05-22,72495.53651499748,92936.44592523575,126046.92016564414
2023-05-23,72512.09073710442,92952.19546175003,125494.30009310105
2023-05-24,75018.21222090721,94054.18593931198,123080.18260278236
2023-05-25,74420.31727194786,93539.95898008347,122704.69806346638
2023-05-26,74086.55376505852,93217.15789079666,124182.16030390197
2023-05-29,74060.03434920311,93458.76071310043,123939.45723402566
2023-05-30,73646.49991965294,92611.23760938644,123599.0098254949
2023-05-31,73876.66818594933,92667.86086988449,121696.41320081943
2023-06-01,74100.76595759392,92333.53108263016,123169.76324444136
2023-06-02,73934.72082209587,91107.70390176773,124704.72036947861
2023-06-05,73638.60447764397,90911.01924753189,124026.15478566768
2023-06-06,73737.30574679375,91519.38407373428,124247.9706270789
2023-06-07,73526.5156943798,91478.65893793106,124000.28284630482
2023-06-08,73144.13762927055,91272.74075555801,124228.69944643913
2023-06-09,72891.23283267021,90738.31292200089,123916.99948020923
2023-06-12,72706.44866251945,90560.44386529922,125067.07167505937
2023-06-13,71821.19464373589,90534.02685022354,126098.8916567396
2023-06-14,71244.81569838524,90824.26291131973,126721.28250769348
2023-06-15,72292.22895693779,91360.31882715225,126560.694393748
2023-06-16,72454.83464026451,91527.57938623428,127085.1891644676
2023-06-19,73573.33827185631,92073.19898462296,125869.86050320695
2023-06-20,73906.1535346508,91681.71483850479,125171.56851401672
2023-06-21,73876.23045706749,92126.93010568619,124486.4021714827
2023-06-22,74218.17881083488,92299.11129808426,124214.7164598568
2023-06-23,75985.2835214138,92137.57737588882,122985.48068280373
2023-06-26,75912.66896033287,92253.18952417374,122854.33043534735
2023-06-27,75170.26234126091,92740.02366304398,123116.93441341977
2023-06-28,75943.43658518791,92859.5294880867,123910.47459227606
2023-06-29,75584.37316012383,92681.68973302841,123892.75876282966
2023-06-30,76624.44099116325,92802.43852186203,125455.76531890048
2023-07-03,76485.87320780754,92364.98727750778,124936.31595571057
2023-07-04,76181.23079371452,92269.60338163376,124611.01994392693
2023-07-05,76283.27180171013,91907.60352277756,123821.75129054316
2023-07-06,76607.34171748161,92515.01049375534,120643.85014517496
2023-07-07,76299.66801524162,92018.19410276413,121225.45285946764
2023-07-10,77004.2464606762,92616.95301008224,121767.42826018491
2023-07-11,77384.66588664055,92631.33573102951,122677.81704259757
2023-07-12,79129.75462126732,94375.77156019211,124485.39308997677
2023-07-13,79135.16742300987,94485.95269727707,125402.39021819149
2023-07-14,79125.7794482708,94283.54645109177,125123.01120846767
2023-07-17,78354.81183505058,93547.37847471237,124840.05868453858
2023-07-18,78437.38915419579,93708.37824106216,125281.65703019119
2023-07-19,77950.25273489952,93159.09026384354,125152.9953446442
2023-07-20,78473.00383067131,93531.53449296951,125893.31975145033
2023-07-21,79151.46644091606,93724.70246267319,125683.55219147845
2023-07-24,78861.25238013268,93649.84497785568,125790.22652210652
2023-07-25,79394.24313139915,93995.58754682541,125950.57943660324
2023-07-26,79420.71129584312,93613.4127573967,125328.03684406952
2023-07-27,79357.13142752647,93930.44252634048,127461.21238639203
2023-07-28,79384.87021040916,94075.00795030594,127956.26929062254
2023-07-31,79781.93277716637,94527.48517274857,127778.20054667939
2023-08-01,80899.49692511559,95617.85289430618,126174.41344102635
2023-08-02,83226.17155814171,96728.53162145615,124462.23732489305
