,static_equity
2023-11-14,161094.07571792603
2023-11-15,161094.07571792603
2023-11-16,161094.07571792603
2023-11-17,161094.07571792603
2023-11-20,161094.07571792603
2023-11-21,161094.07571792603
2023-11-22,161094.07571792603
2023-11-24,161094.07571792603
2023-11-27,161094.07571792603
2023-11-28,161094.07571792603
2023-11-29,161094.07571792603
2023-11-30,161094.07571792603
2023-12-01,161094.07571792603
2023-12-04,161094.07571792603
2023-12-05,161094.07571792603
2023-12-06,161094.07571792603
2023-12-07,161094.07571792603
2023-12-08,161094.07571792603
2023-12-11,161094.07571792603
2023-12-12,161094.07571792603
2023-12-13,161094.07571792603
